"","MO","SC","UA","PD","AD","State","Age","Sex","UK_2026","UK_2026Copula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula","Pakistan","PakistanCopula","Australia","AustraliaCopula","Belgium","BelgiumCopula","Canada","CanadaCopula","Denmark","DenmarkCopula","France","FranceCopula","Hungary","HungaryCopula","Iran","IranCopula","Italy","ItalyCopula","Malaysia","MalaysiaCopula","Poland","PolandCopula","Portugal","PortugalCopula","Romania","RomaniaCopula","Taiwan","TaiwanCopula","Thailand","ThailandCopula","Trinidad_and_Tobago","Trinidad_and_TobagoCopula","USA","USACopula","Singapore","SingaporeCopula","England_2018","England_2018Copula"
"17308",3,4,3,2,3,34323,"45-54","female",0.512,0.48813346,0.465,0.55218673,0.551,0.66411897,0.43,0.53664054,0.349,0.52094527,0.482,0.47902387,0.601,0.66968238,NA,0.76743341,0.555,0.50979152,0.546,0.44794915,0.517,0.58208333,0.523,0.57515635,0.671,0.28168255,0.449,0.70973041,0.04,0.48399345,0.5,0.71276633,0.452,0.56512251,0.756,0.70229541,0.563,0.30158878,0.676,0.71616359,0.143,0.16469688,0.497,0.38410872,0.582,0.68132844,0.407,0.59904496,0.287,0.11715372,0.53,0.48813346
"17309",3,4,3,2,4,34324,"45-54","female",0.325,0.29702638,0.403,0.52670246,0.495,0.5884047,0.219,0.34170692,0.252,0.4531785,0.339,0.31666599,0.439,0.5048674,NA,0.69871881,0.383,0.37134023,0.314,0.28958111,0.36,0.47968082,0.284,0.43478808,0.518,0.15255722,0.281,0.6228003,-0.08,0.42944033,0.291,0.6556607,0.317,0.51052928,0.677,0.61731204,0.436,0.22812244,0.625,0.64351711,-0.014,0.01981032,0.361,0.28847943,0.495,0.62180524,0.211,0.4961956,0.055,-0.06931079,0.349,0.29702638
"17310",3,4,3,2,5,34325,"45-54","female",0.247,0.13290126,0.379,0.50624353,0.46,0.52346234,0.154,0.17598939,0.209,0.39660159,0.262,0.17743144,0.327,0.36176572,NA,0.63903306,0.23,0.25379782,0.221,0.1554685,0.322,0.39170678,0.096,0.31362489,0.46,0.04344013,0.202,0.54798333,-0.15,0.38466257,0.287,0.60657402,0.247,0.46584272,0.553,0.54273266,0.364,0.16495527,0.517,0.58085955,-0.095,-0.10116839,0.298,0.20624487,0.392,0.5696666,0.169,0.40903596,0.01,-0.22601869,0.345,0.13290126
"17311",3,4,3,3,1,34331,"45-54","female",0.628,0.50449775,0.549,0.5717406,0.586,0.68694587,0.549,0.60365588,0.387,0.55789165,0.587,0.49652786,0.631,0.63518549,NA,0.78265624,0.584,0.55691606,0.602,0.50493581,0.547,0.61451779,0.668,0.60847778,0.693,0.31624953,0.512,0.74032479,0.14,0.53794345,0.568,0.72686385,0.521,0.60333705,0.765,0.68722036,0.588,0.30231555,0.711,0.72574471,0.255,0.24468731,0.583,0.38586244,0.572,0.67187341,0.497,0.6298967,0.325,0.19441723,0.613,0.50449775
"17312",3,4,3,3,2,34332,"45-54","female",0.587,0.46980168,0.47,0.54275407,0.553,0.66640665,0.479,0.54459521,0.338,0.51776507,0.506,0.4666027,0.601,0.63332433,NA,0.76557404,0.552,0.51124539,0.541,0.45600764,0.51,0.58435111,0.596,0.57534009,0.673,0.27346046,0.472,0.70414812,0.056,0.49244955,0.524,0.70274516,0.449,0.56593654,0.747,0.67460186,0.552,0.28458287,0.673,0.70044162,0.191,0.17267724,0.525,0.37016796,0.552,0.66607363,0.44,0.58998565,0.266,0.12348512,0.535,0.46980168
"17313",3,4,3,3,3,34333,"45-54","female",0.502,0.41579033,0.438,0.52293711,0.54,0.64114643,0.404,0.4775061,0.269,0.48413326,0.459,0.42052423,0.549,0.60137499,NA,0.74281685,0.518,0.46199218,0.489,0.40143534,0.472,0.54869214,0.477,0.53069878,0.646,0.22735595,0.419,0.66774329,-0.079,0.45850765,0.459,0.67864197,0.426,0.53669988,0.736,0.65064044,0.503,0.26108179,0.652,0.67271843,0.072,0.10865211,0.487,0.34389046,0.498,0.65116303,0.364,0.55034963,0.199,0.05265257,0.509,0.41579033
"17314",3,4,3,3,4,34334,"45-54","female",0.315,0.23531227,0.376,0.49771871,0.484,0.56763882,0.193,0.29179436,0.172,0.41768702,0.316,0.2696894,0.387,0.44911351,NA,0.67445412,0.346,0.33161017,0.257,0.2530886,0.315,0.44670952,0.238,0.39079687,0.493,0.10563144,0.251,0.58116008,-0.199,0.4035397,0.25,0.62183612,0.291,0.48681929,0.657,0.56600299,0.376,0.18982621,0.601,0.60035674,-0.085,-0.02839445,0.35,0.25401588,0.411,0.59199072,0.168,0.45458028,-0.026,-0.12208784,0.328,0.23531227
"17315",3,4,3,3,5,34335,"45-54","female",0.237,0.08012828,0.352,0.47752795,0.449,0.5044742,0.128,0.13377737,0.129,0.36218691,0.239,0.14014452,0.275,0.31664635,NA,0.61492865,0.193,0.22093378,0.163,0.127434,0.278,0.35890919,0.05,0.26980445,0.435,0.00269215,0.172,0.50654328,-0.269,0.35834321,0.246,0.57292535,0.221,0.44612873,0.533,0.49155877,0.304,0.12851225,0.493,0.53786364,-0.166,-0.14277738,0.288,0.17658695,0.308,0.54007588,0.126,0.37349847,-0.064,-0.26888664,0.324,0.08012828
"17316",3,4,3,4,1,34341,"45-54","female",0.323,0.24226055,0.493,0.50882005,0.473,0.60308249,0.281,0.37031422,0.273,0.46874692,0.443,0.26973579,0.336,0.37992271,NA,0.68735924,0.389,0.36558507,0.347,0.3397454,0.371,0.48474416,0.381,0.43731979,0.476,0.15372956,0.297,0.5996141,0.011,0.4929985,0.303,0.60261656,0.369,0.50969161,0.554,0.46729843,0.435,0.21553153,0.632,0.56989372,0.072,0.0785718,0.443,0.24852967,0.389,0.58356664,0.238,0.47510667,-0.009,0.01030422,0.421,0.24226055
"17317",3,4,3,4,2,34342,"45-54","female",0.282,0.21155259,0.414,0.48093841,0.44,0.58429451,0.211,0.31491509,0.224,0.43023224,0.362,0.24415828,0.306,0.38157575,NA,0.67264382,0.357,0.32292276,0.286,0.29404089,0.333,0.45640718,0.309,0.4064243,0.456,0.11317566,0.257,0.56748348,-0.073,0.44878684,0.259,0.58104402,0.297,0.47420109,0.536,0.45756439,0.399,0.1998686,0.594,0.54719744,0.009,0.0099099,0.385,0.23505233,0.369,0.5790923,0.181,0.44235756,-0.062,-0.05723112,0.343,0.21155259
