"","MO","SC","UA","PD","AD","State","Age","Sex","UK","UKCopula","Japan","JapanCopula","SouthKorea","SouthKoreaCopula","Netherlands","NetherlandsCopula","China","ChinaCopula","Spain","SpainCopula","Germany","GermanyCopula"
"368",2,2,2,3,2,"22232","18-34","female",-0.016,0.367678969595432,0.418,0.427374707553187,0.513,0.462184909802512,0.092,0.242398667852462,0.339,0.263926402452526,0.051,0.365620844580327,0.175,0.3394685003878
"369",2,2,2,3,3,"22233","18-34","female",-0.181,0.176092031503493,0.369,0.322133131510167,0.398,0.354734828846624,-0.109,-0.0225128218956881,0.22,0.0933532902342631,-0.031,0.147673346923552,0.11,0.0836891962432021
"370",2,2,3,1,1,"22311","18-34","female",0.383,0.522698047739651,0.586,0.505142631993951,0.55,0.537084645086673,0.52,0.481344330365266,0.542,0.378927304724877,0.25,0.515021308842006,0.49,0.592787958847789
"371",2,2,3,1,2,"22312","18-34","female",0.312,0.43079892508212,0.523,0.435754813685874,0.507,0.49894304810508,0.396,0.357107866924712,0.456,0.297160809453998,0.188,0.416992495026992,0.49,0.511237595745588
"372",2,2,3,1,3,"22313","18-34","female",0.147,0.249126302407113,0.474,0.332126974783154,0.392,0.388228305386377,0.195,0.106238753187708,0.337,0.12581419834688,0.106,0.207871555061312,0.425,0.26965833081731
"373",2,2,3,2,1,"22321","18-34","female",0.26,0.480840402245161,0.506,0.485261634077681,0.513,0.515178428061901,0.434,0.419370742840113,0.45,0.332869261719306,0.161,0.477776145944699,0.378,0.516628862097877
"374",2,2,3,2,2,"22322","18-34","female",0.189,0.391975092392622,0.443,0.416802101614416,0.47,0.477794517627417,0.31,0.298879793883863,0.364,0.252765706747835,0.099,0.382325819870083,0.378,0.438403545340877
"375",2,2,3,2,3,"22323","18-34","female",0.024,0.198451662575869,0.394,0.310161616104346,0.355,0.359790434691353,0.109,0.0332428650254146,0.245,0.0761090672513126,0.017,0.164253814787482,0.313,0.183084952671434
"376",2,2,3,3,1,"22331","18-34","female",-0.003,0.226875954961339,0.392,0.349056748967586,0.399,0.33825655486289,0.191,0.118820665401394,0.306,0.103769217314023,-0.011,0.220735796529489,0.175,0.138166609174968
"377",2,2,3,3,2,"22332","18-34","female",-0.074,0.129464965687995,0.329,0.278695076033968,0.356,0.300927727284711,0.067,-0.0121586621719821,0.22,0.0189718874867109,-0.073,0.117989360650973,0.175,0.0508041273350092
"378",2,2,3,3,3,"22333","18-34","female",-0.239,-0.013914917627749,0.28,0.198559194267152,0.241,0.225166521665162,-0.134,-0.222523805975171,0.101,-0.106692919892626,-0.155,-0.055748050516247,0.11,-0.155474619270337
"379",2,3,1,1,1,"23111","18-34","female",0.367,0.749525733965857,0.671,0.72127267647581,0.668,0.737307487706434,0.507,0.726950307652931,0.632,0.697237667747791,0.27,0.728147114886427,0.403,0.793231909803445
"380",2,3,1,1,2,"23112","18-34","female",0.296,0.627566223484487,0.608,0.613266053490271,0.625,0.660775847403179,0.383,0.575303850047491,0.546,0.567652869796632,0.208,0.596853999563185,0.403,0.689065632150776
"381",2,3,1,1,3,"23113","18-34","female",0.131,0.344450781325194,0.559,0.429492904842433,0.51,0.466592221297915,0.182,0.217161458022022,0.427,0.259166469026385,0.126,0.283055758060941,0.338,0.342666177495651
"382",2,3,1,2,1,"23121","18-34","female",0.244,0.631887155855523,0.591,0.624796735853687,0.631,0.645957781733602,0.421,0.594977145079279,0.54,0.544558244864669,0.181,0.607986222190557,0.291,0.661025303616773
"383",2,3,1,2,2,"23122","18-34","female",0.173,0.529455010524675,0.528,0.542522165360105,0.588,0.593773282469818,0.297,0.462596107476088,0.454,0.44160679418242,0.119,0.498945033300363,0.291,0.569903614006306
"384",2,3,1,2,3,"23123","18-34","female",0.008,0.289688733286786,0.479,0.40129138193958,0.473,0.436227350559171,0.096,0.142513547352035,0.335,0.198280778121635,0.037,0.235013004921603,0.226,0.262081988129587
"385",2,3,1,3,1,"23131","18-34","female",-0.019,0.288136128233893,0.477,0.415341858223292,0.517,0.395209362967774,0.178,0.195587227836395,0.396,0.184890161627077,0.009,0.254292018687765,0.088,0.170566995332523
"386",2,3,1,3,2,"23132","18-34","female",-0.09,0.195098083432176,0.414,0.34901253244487,0.474,0.362151187301215,0.054,0.0676807365868312,0.31,0.104072068956163,-0.053,0.157374792690632,0.088,0.0917583673526521
"387",2,3,1,3,3,"23133","18-34","female",-0.255,0.0428228510929442,0.365,0.259915944095007,0.359,0.275647698719663,-0.147,-0.149096498142128,0.191,-0.0308380930269177,-0.135,-0.0299912399945791,0.023,-0.135642012228551
"388",2,3,2,1,1,"23211","18-34","female",0.331,0.610501237666293,0.627,0.576088396660349,0.617,0.62215874727079,0.475,0.577072087918335,0.558,0.499701835684242,0.199,0.596727104874024,0.403,0.67786460977264
"389",2,3,2,1,2,"23212","18-34","female",0.26,0.514826801835519,0.564,0.499557439274255,0.574,0.575427466231168,0.351,0.450229992938599,0.472,0.406750001175778,0.137,0.494778786777509,0.403,0.594318741905007
"390",2,3,2,1,3,"23213","18-34","female",0.095,0.290859145968409,0.515,0.364933163865295,0.459,0.429212576704095,0.15,0.150888887147401,0.353,0.179321186222438,0.055,0.244251556254183,0.338,0.310398403279198
"391",2,3,2,2,1,"23221","18-34","female",0.208,0.556944067368582,0.547,0.540765685407091,0.58,0.585938318732882,0.389,0.506580815557945,0.466,0.427403966324737,0.11,0.546787254091905,0.291,0.59710958121812
"392",2,3,2,2,2,"23222","18-34","female",0.137,0.464962856102851,0.484,0.467383371129474,0.537,0.54189609010146,0.265,0.383441954469955,0.38,0.338703745764628,0.048,0.448580547502209,0.291,0.516296751319868
"393",2,3,2,2,3,"23223","18-34","female",-0.028,0.248261300518021,0.435,0.344281859332981,0.422,0.403397347084582,0.064,0.0889813075018701,0.261,0.131278109884131,-0.034,0.208718844427522,0.226,0.236603747302889
"394",2,3,2,3,1,"23231","18-34","female",-0.055,0.241359843361103,0.433,0.36111852813346,0.466,0.363996414074171,0.146,0.133604041817277,0.322,0.118041992579719,-0.062,0.227551928629997,0.088,0.150922256223306
"395",2,3,2,3,2,"23232","18-34","female",-0.126,0.146797097770221,0.37,0.292029055915022,0.423,0.327723788762295,0.022,0.00574999306415692,0.236,0.0353432714751385,-0.124,0.127860285976833,0.088,0.067274663995806
"396",2,3,2,3,3,"23233","18-34","female",-0.291,-0.0114929285025307,0.321,0.203173702717773,0.308,0.243175863872731,-0.179,-0.220752798729776,0.117,-0.104568067258073,-0.206,-0.0623878916657739,0.023,-0.157924541281219
"397",2,3,3,1,1,"23311","18-34","female",0.273,0.369567539706152,0.538,0.404742921799038,0.46,0.420330732962719,0.45,0.326185011225502,0.439,0.204489043664213,0.075,0.353828728373265,0.403,0.400781536791608
"398",2,3,3,1,2,"23312","18-34","female",0.202,0.277554441614718,0.475,0.338248904752282,0.417,0.389850187664027,0.326,0.199551240923512,0.353,0.124607904154824,0.013,0.256081008991733,0.403,0.324009413828348
"399",2,3,3,1,3,"23313","18-34","female",0.037,0.131681658370237,0.426,0.255436493077726,0.302,0.303866793895,0.125,-0.010698730095754,0.234,-0.00298624255725456,-0.069,0.0800409958171686,0.338,0.103691764483767
"400",2,3,3,2,1,"23321","18-34","female",0.15,0.308862509499652,0.458,0.379836328166404,0.423,0.392640541391911,0.364,0.238308271166916,0.347,0.146176486418554,-0.014,0.301360211347136,0.291,0.312369706319181
"401",2,3,3,2,2,"23322","18-34","female",0.079,0.210413883569278,0.395,0.308989766938879,0.38,0.355087641361681,0.24,0.105940741629254,0.261,0.060403963813863,-0.076,0.197287513090304,0.291,0.223999947122914
"402",2,3,3,2,3,"23323","18-34","female",-0.086,0.0722851469537455,0.346,0.232164475344435,0.265,0.280837189277072,0.039,-0.0985738146292015,0.142,-0.0599625600660683,-0.158,0.0299451417694681,0.226,0.0236381651947793
"403",2,3,3,3,1,"23331","18-34","female",-0.113,0.13704534177949,0.344,0.285686600605264,0.309,0.270806088904149,0.121,0.0351317257374146,0.203,0.00859870561578165,-0.186,0.114960285433865,0.088,-0.00362554100207215
"404",2,3,3,3,2,"23332","18-34","female",-0.184,0.0443131592552642,0.281,0.221462324242443,0.266,0.242413747385605,-0.003,-0.0950489634575386,0.117,-0.0709483366136174,-0.248,0.0192905581056633,0.088,-0.0774233418082787
"405",2,3,3,3,3,"23333","18-34","female",-0.349,-0.0939864312196277,0.232,0.138039351029573,0.151,0.156963215395831,-0.204,-0.291869687650068,-0.002,-0.19277734598401,-0.33,-0.155603285346844,0.023,-0.298036954843232
"406",3,1,1,1,1,"31111","18-34","female",0.336,0.953232800353057,0.43,0.928204721454052,0.482,0.928491110302592,0.534,0.936525606564246,0.693,0.958406461711234,0.255,0.946545964103072,0.349,0.970823313773853
"407",3,1,1,1,2,"31112","18-34","female",0.265,0.865954506215627,0.367,0.814754902677502,0.439,0.836549659515121,0.41,0.813941953335626,0.607,0.87640072868127,0.193,0.847841002569086,0.349,0.910839011863068
"408",3,1,1,1,3,"31113","18-34","female",0.1,0.627695633717872,0.318,0.665861396476586,0.324,0.648114769287133,0.209,0.499556203336726,0.488,0.64779275665261,0.111,0.587320621921442,0.284,0.633954225381005
"409",3,1,1,2,1,"31121","18-34","female",0.213,0.851869608346068,0.35,0.81104228282598,0.445,0.811585118670217,0.448,0.816434808654488,0.601,0.84463473455252,0.166,0.827223956484682,0.237,0.882397443175635
"410",3,1,1,2,2,"31122","18-34","female",0.142,0.757539671703223,0.287,0.721835145518208,0.402,0.756564121611462,0.324,0.701617970641094,0.515,0.747007570893339,0.104,0.721845331834074,0.237,0.807844065311837
"411",3,1,1,2,3,"31123","18-34","female",-0.023,0.510142185538797,0.238,0.569641676540036,0.287,0.569841411788126,0.123,0.377636778360097,0.396,0.498314241709786,0.022,0.45399215770445,0.172,0.511109882355839
"412",3,1,1,3,1,"31131","18-34","female",-0.05,0.410474540715905,0.236,0.501687446942188,0.331,0.444239896160956,0.205,0.332685329098759,0.457,0.350171274058704,-0.006,0.357776758819425,0.034,0.303355072230799
"413",3,1,1,3,2,"31132","18-34","female",-0.121,0.309643802189984,0.173,0.428826096290051,0.288,0.404808936851645,0.081,0.195766065038852,0.371,0.257507132401145,-0.068,0.255074263353034,0.034,0.217091676893881
"414",3,1,1,3,3,"31133","18-34","female",-0.286,0.0986024717599268,0.124,0.295323032234607,0.173,0.259172844904937,-0.12,-0.0824476258550433,0.252,0.0593649568952048,-0.15,-0.00379575323575494,-0.031,-0.094787221229157
"415",3,1,2,1,1,"31211","18-34","female",0.3,0.822849524853245,0.386,0.767073538564223,0.431,0.792730543020002,0.502,0.798320441636554,0.619,0.801625158555772,0.184,0.802805365813101,0.349,0.875638653742872
"416",3,1,2,1,2,"31212","18-34","female",0.229,0.723395266877028,0.323,0.672570894849335,0.388,0.729362608496445,0.378,0.672013580975237,0.533,0.697874831031724,0.122,0.693248990052362,0.349,0.795860096084762
"417",3,1,2,1,3,"31213","18-34","female",0.064,0.468590549381236,0.274,0.508765095774234,0.273,0.534761152008431,0.177,0.339572836615255,0.414,0.431202000086938,0.04,0.416739825658503,0.284,0.496637298509684
"418",3,1,2,2,1,"31221","18-34","female",0.177,0.729586043533999,0.306,0.681662413729692,0.394,0.717105892169569,0.416,0.694702561819656,0.527,0.675328589079664,0.095,0.701190584575418,0.237,0.776670886192652
"419",3,1,2,2,2,"31222","18-34","female",0.106,0.636064689331883,0.243,0.601272172346987,0.351,0.666012980821247,0.292,0.573288696317483,0.441,0.578709652708807,0.033,0.599655554213963,0.237,0.696413577240107
"420",3,1,2,2,3,"31223","18-34","female",-0.059,0.405448412917337,0.194,0.463909440576658,0.236,0.496569545909865,0.091,0.260372508112194,0.322,0.346436902891527,-0.049,0.352865517591352,0.172,0.411104935098057
"421",3,1,2,3,1,"31231","18-34","female",-0.086,0.35182085512672,0.192,0.440392458744649,0.28,0.411058289899434,0.173,0.253710452170809,0.383,0.262320546656168,-0.077,0.326410895832119,0.034,0.276374042435036
"422",3,1,2,3,2,"31232","18-34","female",-0.157,0.260471542160912,0.129,0.373233302219802,0.237,0.378292442530593,0.049,0.128189552487911,0.297,0.181245159876568,-0.139,0.231437270297446,0.034,0.198664739801159
"423",3,1,2,3,3,"31233","18-34","female",-0.322,0.0795802725554279,0.08,0.268539816530198,0.122,0.267012402961071,-0.152,-0.120394405439125,0.178,0.0194801759530715,-0.221,0.014808265294503,-0.031,-0.0605059689095319
"424",3,1,3,1,1,"31311","18-34","female",0.242,0.419738703920765,0.297,0.453936069562529,0.274,0.404774259882123,0.477,0.379446760556615,0.5,0.300651993584558,0.06,0.392889289857857,0.349,0.433793800716515
"425",3,1,3,1,2,"31312","18-34","female",0.171,0.339685614974171,0.234,0.393392089663469,0.231,0.385676990790055,0.353,0.265543455243115,0.414,0.22993765725859,-0.002,0.308402485993182,0.349,0.376433625147168
"426",3,1,3,1,3,"31313","18-34","female",0.006,0.16176203524529,0.185,0.286547825294435,0.116,0.260780907683413,0.152,0.0221059009207042,0.295,0.0671701206926169,-0.084,0.0939831009471947,0.284,0.107631205397928
"427",3,1,3,2,1,"31321","18-34","female",0.119,0.402631429888552,0.217,0.450434139880919,0.237,0.421120699464302,0.391,0.339546828305876,0.408,0.277748999305127,-0.029,0.386222485777737,0.237,0.416255540762539
"428",3,1,3,2,2,"31322","18-34","female",0.048,0.310377898880154,0.154,0.383324133026207,0.194,0.390604454599364,0.267,0.212995812244681,0.322,0.196428911795266,-0.091,0.289379136158788,0.237,0.338222416305911
"429",3,1,3,2,3,"31323","18-34","female",-0.117,0.153192293195985,0.105,0.292824175835624,0.079,0.291675678288149,0.066,-0.00962938887277407,0.203,0.0570372665111023,-0.173,0.0999005614083354,0.172,0.107852801150822
"430",3,1,3,3,1,"31331","18-34","female",-0.144,0.180557700212037,0.103,0.314478409480361,0.123,0.236682077592433,0.148,0.0914037586330306,0.264,0.0866144845454319,-0.201,0.12960473668225,0.034,0.0160159463446201
"431",3,1,3,3,2,"31332","18-34","female",-0.215,0.0975364981823119,0.04,0.259402196341854,0.08,0.219444126900707,0.024,-0.0295996598519147,0.178,0.0179007451772842,-0.263,0.0473364722042002,0.034,-0.0451635143228444
"432",3,1,3,3,3,"31333","18-34","female",-0.38,-0.0433805855004507,-0.009,0.169151897340001,-0.035,0.121862623262329,-0.177,-0.228025596690298,0.059,-0.110734313819035,-0.345,-0.138714419200201,-0.031,-0.274362687534811
"433",3,2,1,1,1,"32111","18-34","female",0.232,0.710748303663511,0.376,0.687376027631206,0.436,0.698815643974188,0.452,0.690917104143087,0.588,0.646656784179711,0.121,0.685236453222661,0.262,0.762763144332939
"434",3,2,1,1,2,"32112","18-34","female",0.161,0.592850131573995,0.313,0.585760803325113,0.393,0.628296546139239,0.328,0.543391267980812,0.502,0.523708061408207,0.059,0.558375333665358,0.262,0.662744715595654
"435",3,2,1,1,3,"32113","18-34","female",-0.004,0.319518117239528,0.264,0.410985402743681,0.278,0.43729978846935,0.127,0.197553882947869,0.383,0.230944407542039,-0.023,0.253254849766947,0.197,0.328205935177553
"436",3,2,1,2,1,"32121","18-34","female",0.109,0.610044040595084,0.296,0.60814819504979,0.399,0.623123617664873,0.366,0.575572758900007,0.496,0.517795147215238,0.032,0.583021834876106,0.15,0.645841315746442
"437",3,2,1,2,2,"32122","18-34","female",0.038,0.509011597843022,0.233,0.528092898079955,0.356,0.57293791937851,0.242,0.444304164443418,0.41,0.418033108148539,-0.03,0.475326644684509,0.15,0.556082698240722
"438",3,2,1,2,3,"32123","18-34","female",-0.127,0.272146193651334,0.184,0.389385614920184,0.241,0.415702173202155,0.041,0.129591368153109,0.291,0.179745873402664,-0.112,0.214287828795014,0.085,0.255481125326574
"439",3,2,1,3,1,"32131","18-34","female",-0.154,0.27614025120703,0.182,0.406056908054352,0.285,0.371154753460669,0.123,0.191542508905523,0.352,0.175897726399794,-0.14,0.236900370836111,-0.053,0.171849652665173
"440",3,2,1,3,2,"32132","18-34","female",-0.225,0.185237902692564,0.119,0.341857032545861,0.242,0.341360793938041,-0.001,0.0655913443894738,0.266,0.0972561719527327,-0.202,0.143570908438435,-0.053,0.0961494629188869
"441",3,2,1,3,3,"32133","18-34","female",-0.39,0.0335446924578292,0.07,0.251718381978463,0.127,0.250975834431256,-0.202,-0.149809722030019,0.147,-0.0367726967608193,-0.284,-0.0462965299708059,-0.118,-0.131864343011493
"442",3,2,2,1,1,"32211","18-34","female",0.196,0.59079324036069,0.332,0.561167308480987,0.385,0.599892284463849,0.42,0.561058545386407,0.514,0.475862114210121,0.05,0.573265835103661,0.262,0.666773208273422
