"","Denmark","France","Germany","Japan","Netherlands","Russia","Spain","Thailand","UK","USA","Zimbabwe"
"14215",0.386,0.257,0.503,0.635,0.245,0.645,0.308,0.351,0.254,0.469,0.567
"14221",0.704,0.503,0.723,0.683,0.679,0.771,0.601,0.509,0.596,0.701,0.686
"14222",0.65,0.432,0.723,0.633,0.58,0.738,0.551,0.483,0.539,0.656,0.65
"14223",0.636,0.413,0.723,0.62,0.555,0.73,0.539,0.477,0.525,0.644,0.64
"14224",0.489,0.293,0.571,0.596,0.369,0.662,0.39,0.387,0.344,0.536,0.578
"14225",0.337,0.167,0.413,0.571,0.176,0.592,0.236,0.294,0.156,0.423,0.513
"14231",0.691,0.481,0.7,0.667,0.661,0.758,0.583,0.494,0.571,0.69,0.673
"14232",0.637,0.409,0.7,0.617,0.563,0.725,0.534,0.469,0.515,0.641,0.636
"14233",0.623,0.391,0.7,0.604,0.537,0.717,0.521,0.462,0.5,0.629,0.627
"14234",0.476,0.27,0.549,0.58,0.352,0.649,0.373,0.373,0.319,0.523,0.564
"14235",0.324,0.145,0.391,0.555,0.159,0.579,0.219,0.279,0.131,0.412,0.5
"14241",0.558,0.367,0.522,0.622,0.494,0.634,0.426,0.398,0.385,0.567,0.579
"14242",0.504,0.296,0.522,0.572,0.395,0.601,0.377,0.372,0.328,0.525,0.542
"14243",0.49,0.277,0.522,0.559,0.37,0.593,0.364,0.366,0.314,0.514,0.533
"14244",0.343,0.182,0.418,0.535,0.219,0.525,0.259,0.296,0.173,0.426,0.471
"14245",0.191,0.084,0.31,0.51,0.062,0.455,0.15,0.225,0.026,0.333,0.406
"14251",0.357,0.196,0.253,0.553,0.241,0.447,0.191,0.252,0.104,0.382,0.438
"14252",0.303,0.125,0.253,0.503,0.143,0.414,0.141,0.227,0.048,0.35,0.401
"14253",0.289,0.106,0.253,0.49,0.117,0.406,0.129,0.22,0.033,0.342,0.392
"14254",0.142,0.05,0.221,0.466,0.019,0.338,0.088,0.182,-0.048,0.28,0.329
"14255",-0.01,-0.008,0.188,0.441,-0.084,0.268,0.047,0.142,-0.132,0.215,0.265
"14311",0.744,0.562,0.812,0.738,0.741,0.81,0.658,0.555,0.687,0.745,0.731
"14312",0.69,0.491,0.812,0.688,0.643,0.777,0.609,0.529,0.631,0.71,0.695
"14313",0.676,0.472,0.812,0.675,0.617,0.769,0.596,0.523,0.616,0.701,0.685
"14314",0.529,0.351,0.661,0.651,0.432,0.701,0.447,0.433,0.435,0.586,0.623
"14315",0.377,0.226,0.503,0.626,0.239,0.631,0.294,0.34,0.247,0.467,0.558
"14321",0.694,0.472,0.723,0.674,0.672,0.757,0.586,0.497,0.588,0.696,0.678
"14322",0.64,0.401,0.723,0.624,0.574,0.724,0.537,0.472,0.532,0.648,0.641
"14323",0.626,0.382,0.723,0.611,0.548,0.716,0.524,0.465,0.517,0.635,0.632
"14324",0.479,0.262,0.571,0.587,0.363,0.648,0.376,0.375,0.337,0.529,0.569
"14325",0.327,0.137,0.413,0.562,0.17,0.578,0.222,0.282,0.149,0.419,0.505
"14331",0.682,0.45,0.7,0.658,0.655,0.744,0.569,0.483,0.564,0.684,0.664
"14332",0.628,0.379,0.7,0.608,0.557,0.711,0.52,0.457,0.508,0.633,0.628
"14333",0.614,0.36,0.7,0.595,0.531,0.703,0.507,0.451,0.493,0.619,0.618
"14334",0.467,0.239,0.549,0.571,0.346,0.635,0.358,0.361,0.312,0.515,0.556
"14335",0.315,0.114,0.391,0.546,0.153,0.565,0.205,0.268,0.124,0.407,0.491
"14341",0.548,0.336,0.522,0.613,0.487,0.62,0.412,0.386,0.378,0.563,0.57
"14342",0.494,0.265,0.522,0.563,0.389,0.587,0.363,0.361,0.321,0.518,0.534
"14343",0.48,0.246,0.522,0.55,0.363,0.579,0.35,0.354,0.307,0.506,0.524
"14344",0.334,0.152,0.418,0.526,0.213,0.511,0.245,0.285,0.166,0.42,0.462
"14345",0.181,0.053,0.31,0.501,0.056,0.441,0.136,0.213,0.019,0.33,0.397
"14351",0.348,0.165,0.253,0.544,0.235,0.433,0.177,0.241,0.097,0.38,0.429
"14352",0.294,0.094,0.253,0.494,0.137,0.4,0.127,0.215,0.041,0.346,0.393
"14353",0.28,0.075,0.253,0.481,0.111,0.392,0.115,0.209,0.026,0.337,0.383
"14354",0.133,0.019,0.221,0.457,0.012,0.324,0.074,0.17,-0.055,0.276,0.321
"14355",-0.019,-0.039,0.188,0.432,-0.09,0.254,0.033,0.131,-0.139,0.213,0.256
"14411",0.712,0.508,0.732,0.709,0.675,0.754,0.545,0.501,0.601,0.681,0.701
"14412",0.658,0.436,0.732,0.659,0.576,0.721,0.496,0.475,0.545,0.651,0.665
"14413",0.644,0.418,0.732,0.646,0.551,0.713,0.483,0.469,0.53,0.644,0.655
"14414",0.497,0.319,0.62,0.622,0.394,0.645,0.37,0.396,0.382,0.544,0.593
"14415",0.345,0.215,0.503,0.597,0.231,0.575,0.253,0.32,0.228,0.44,0.528
"14421",0.662,0.418,0.642,0.645,0.606,0.701,0.473,0.443,0.502,0.638,0.647
"14422",0.609,0.347,0.642,0.595,0.507,0.668,0.424,0.418,0.446,0.595,0.611
"14423",0.594,0.328,0.642,0.582,0.482,0.66,0.411,0.411,0.431,0.584,0.601
"14424",0.448,0.229,0.53,0.558,0.325,0.592,0.299,0.338,0.283,0.492,0.539
"14425",0.295,0.126,0.413,0.533,0.162,0.522,0.181,0.263,0.13,0.397,0.474
